GEOID,NAME,B19013_001E,B19013_001M,year
36081,Queens County, New York,54870,488,2009
36081,Queens County, New York,55291,482,2010
36081,Queens County, New York,56406,570,2011
36081,Queens County, New York,56780,450,2012
36081,Queens County, New York,57001,532,2013
36081,Queens County, New York,57210,508,2014
36081,Queens County, New York,57720,552,2015
36081,Queens County, New York,59758,546,2016
36081,Queens County, New York,62008,471,2017
36081,Queens County, New York,64987,663,2018
36081,Queens County, New York,68666,629,2019
36081,Queens County, New York,72028,691,2020
36081,Queens County, New York,75886,839,2021
36081,Queens County, New York,82431,873,2022
36081,Queens County, New York,84961,880,2023
